Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
P2Y Receptors	1/12	0.06066188496155178	0.2639377097521657	0	0	17.550750220653132	49.1849192357055	LPAR4
Butyrophilin (BTN) Family Interactions	1/12	0.06066188496155178	0.2639377097521657	0	0	17.550750220653132	49.1849192357055	PPL
Endosomal Vacuolar Pathway	1/12	0.06066188496155178	0.2639377097521657	0	0	17.550750220653132	49.1849192357055	B2M
FGFR3 Mutant Receptor Activation	1/12	0.06066188496155178	0.2639377097521657	0	0	17.550750220653132	49.1849192357055	FGF23
Signaling by Activated Point Mutants of FGFR3	1/12	0.06066188496155178	0.2639377097521657	0	0	17.550750220653132	49.1849192357055	FGF23
Suppression of Apoptosis	1/12	0.06066188496155178	0.2639377097521657	0	0	17.550750220653132	49.1849192357055	RNF213
Hyaluronan Uptake and Degradation	1/12	0.06066188496155178	0.2639377097521657	0	0	17.550750220653132	49.1849192357055	CD44
Vitamin D (Calciferol) Metabolism	1/12	0.06066188496155178	0.2639377097521657	0	0	17.550750220653132	49.1849192357055	LGMN
PKR-mediated Signaling	2/80	0.06514872400627846	0.2639377097521657	0	0	4.981900452488688	13.60598144682079	TRIM25;ADAR
ER-Phagosome Pathway	2/80	0.06514872400627846	0.2639377097521657	0	0	4.981900452488688	13.60598144682079	B2M;S100A8
NF-kB Activation Through FADD RIP-1 Pathway Mediated by Caspase-8 and -10	1/13	0.06554936527910928	0.2639377097521657	0	0	16.0873786407767	43.83733060942407	TRIM25
POU5F1 (OCT4), SOX2, NANOG Activate Genes Related to Proliferation	1/13	0.06554936527910928	0.2639377097521657	0	0	16.0873786407767	43.83733060942407	DPPA4
Phospholipase C-mediated Cascade; FGFR3	1/13	0.06554936527910928	0.2639377097521657	0	0	16.0873786407767	43.83733060942407	FGF23
FGFR2c Ligand Binding and Activation	1/13	0.06554936527910928	0.2639377097521657	0	0	16.0873786407767	43.83733060942407	FGF23
FGFR3 Ligand Binding and Activation	1/13	0.06554936527910928	0.2639377097521657	0	0	16.0873786407767	43.83733060942407	FGF23
FGFR3c Ligand Binding and Activation	1/13	0.06554936527910928	0.2639377097521657	0	0	16.0873786407767	43.83733060942407	FGF23
FGFRL1 Modulation of FGFR1 Signaling	1/13	0.06554936527910928	0.2639377097521657	0	0	16.0873786407767	43.83733060942407	FGF23
Trafficking and Processing of Endosomal TLR	1/13	0.06554936527910928	0.2639377097521657	0	0	16.0873786407767	43.83733060942407	LGMN
Signaling by Insulin Receptor	2/82	0.06801785412482414	0.26477111505935974	0	0	4.856862745098039	13.055174437116952	FGF23;ATP6V1F
Infection With Mycobacterium Tuberculosis	2/82	0.06801785412482414	0.26477111505935974	0	0	4.856862745098039	13.055174437116952	RNF213;B2M
CS DS Degradation	1/14	0.07041165916963193	0.26477111505935974	0	0	14.849141150112024	39.400657913218666	VCAN
RUNX3 Regulates NOTCH Signaling	1/14	0.07041165916963193	0.26477111505935974	0	0	14.849141150112024	39.400657913218666	MAML2
FGFR1c Ligand Binding and Activation	1/14	0.07041165916963193	0.26477111505935974	0	0	14.849141150112024	39.400657913218666	FGF23
FGFR4 Ligand Binding and Activation	1/14	0.07041165916963193	0.26477111505935974	0	0	14.849141150112024	39.400657913218666	FGF23
TP53 Regulates Transcription of Cell Death Genes With Uncertain Role in P53-Dependent Apoptosis	1/14	0.07041165916963193	0.26477111505935974	0	0	14.849141150112024	39.400657913218666	BCL6
Triglyceride Biosynthesis	1/14	0.07041165916963193	0.26477111505935974	0	0	14.849141150112024	39.400657913218666	GK
RUNX1 Regulates Transcription of Genes Involved in Differentiation of HSCs	2/85	0.07239852595295862	0.27001089597209976	0	0	4.680604772029294	12.289252380054691	ITCH;H3-3A
DDX58 IFIH1-mediated Induction of Interferon-Alpha Beta	2/86	0.07387870559220562	0.27329114670287447	0	0	4.624649859943977	12.048741998868683	ITCH;TRIM25
Phospholipase C-mediated Cascade; FGFR4	1/15	0.07524889511799028	0.27611489740875467	0	0	13.787794729542302	35.66839153029831	FGF23
Adaptive Immune System	8/854	0.07681081221685972	0.27652738840531116	0	0	1.8764775413711583	4.815810472995323	ITCH;RNF213;FCGR2B;B2M;PPL;S100A8;LGMN;HLA-DPA1
Pre-NOTCH Expression and Processing	2/89	0.0783771488070497	0.27652738840531116	0	0	4.464503042596349	11.367619720818055	MAML2;H3-3A
Meiosis	2/89	0.0783771488070497	0.27652738840531116	0	0	4.464503042596349	11.367619720818055	SUN2;H3-3A
Nucleotide-like (Purinergic) Receptors	1/16	0.08006120096866153	0.27652738840531116	0	0	12.867961165048543	32.491137725835515	LPAR4
Phospholipase C-mediated Cascade FGFR1	1/16	0.08006120096866153	0.27652738840531116	0	0	12.867961165048543	32.491137725835515	FGF23
Regulation of Gene Expression in Late Stage (Branching Morphogenesis) Pancreatic Bud Precursor Cells	1/16	0.08006120096866153	0.27652738840531116	0	0	12.867961165048543	32.491137725835515	MAML2
FOXO-mediated Transcription of Cell Death Genes	1/16	0.08006120096866153	0.27652738840531116	0	0	12.867961165048543	32.491137725835515	BCL6
Telomere Maintenance	2/92	0.08295956512344917	0.27652738840531116	0	0	4.315032679738562	10.741850797794058	PPP6C;H3-3A
Activated Point Mutants of FGFR2	1/17	0.0848487039018828	0.27652738840531116	0	0	12.063106796116505	29.7583039952957	FGF23
Regulation of MITF-M-dependent Genes Involved in Lysosome Biogenesis and Autophagy	1/17	0.0848487039018828	0.27652738840531116	0	0	12.063106796116505	29.7583039952957	ATP6V1F
Hyaluronan Metabolism	1/17	0.0848487039018828	0.27652738840531116	0	0	12.063106796116505	29.7583039952957	CD44
Antimicrobial Peptides	2/95	0.08762232416047243	0.27652738840531116	0	0	4.175205566097406	10.165454289259035	BPIFA2;S100A8
Antigen processing-Cross Presentation	2/96	0.08919381672796972	0.27652738840531116	0	0	4.130579891531081	9.98337847199918	B2M;S100A8
Zygotic Genome Activation (ZGA)	1/18	0.08961153050884178	0.27652738840531116	0	0	11.352941176470589	27.38637392725137	DPPA4
Acyl Chain Remodelling of PG	1/18	0.08961153050884178	0.27652738840531116	0	0	11.352941176470589	27.38637392725137	LPCAT4
PI-3K Cascade FGFR3	1/18	0.08961153050884178	0.27652738840531116	0	0	11.352941176470589	27.38637392725137	FGF23
Phospholipase C-mediated Cascade; FGFR2	1/18	0.08961153050884178	0.27652738840531116	0	0	11.352941176470589	27.38637392725137	FGF23
FGFR1 Ligand Binding and Activation	1/18	0.08961153050884178	0.27652738840531116	0	0	11.352941176470589	27.38637392725137	FGF23
SHC-mediated Cascade FGFR3	1/18	0.08961153050884178	0.27652738840531116	0	0	11.352941176470589	27.38637392725137	FGF23
TRAF3-dependent IRF Activation Pathway	1/18	0.08961153050884178	0.27652738840531116	0	0	11.352941176470589	27.38637392725137	TRIM25
MyD88 Deficiency (TLR2 4)	1/19	0.09434980672385117	0.27652738840531116	0	0	10.72168284789644	25.311170493332494	S100A8
RHO GTPases Activate ROCKs	1/19	0.09434980672385117	0.27652738840531116	0	0	10.72168284789644	25.311170493332494	MYL12B
RHO GTPases Activate CIT	1/19	0.09434980672385117	0.27652738840531116	0	0	10.72168284789644	25.311170493332494	MYL12B
Defective GALNT12 Causes CRCS1	1/19	0.09434980672385117	0.27652738840531116	0	0	10.72168284789644	25.311170493332494	MUC4
Defective GALNT3 Causes HFTC	1/19	0.09434980672385117	0.27652738840531116	0	0	10.72168284789644	25.311170493332494	MUC4
Signaling by NOTCH	3/209	0.09550012720153259	0.27652738840531116	0	0	2.8390848793617227	6.667953389022975	ITCH;MAML2;H3-3A
NOTCH4 Intracellular Domain Regulates Transcription	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	MAML2
Apoptotic Factor-Mediated Response	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	BAK1
PI-3K Cascade FGFR4	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	FGF23
Chondroitin Sulfate Biosynthesis	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	VCAN
Defective B3GALT6 Causes EDSP2 and SEMDJL1	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	VCAN
Defective B3GAT3 Causes JDSSDHD	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	VCAN
Defective B4GALT7 Causes EDS, Progeroid Type	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	VCAN
Defective C1GALT1C1 Causes TNPS	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	MUC4
FGFR2 Ligand Binding and Activation	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	FGF23
SHC-mediated Cascade FGFR4	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	FGF23
FRS-mediated FGFR3 Signaling	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	FGF23
Sema4D Induced Cell Migration and Growth-Cone Collapse	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	MYL12B
IRAK4 Deficiency (TLR2 4)	1/20	0.09906365782432026	0.27652738840531116	0	0	10.15687276443536	23.4826149464007	S100A8
PI-3K Cascade FGFR1	1/21	0.1037532085119379	0.282680897442705	0	0	9.648543689320388	21.86109325946267	FGF23
RHO GTPases Activate PAKs	1/21	0.1037532085119379	0.282680897442705	0	0	9.648543689320388	21.86109325946267	MYL12B
Digestion	1/21	0.1037532085119379	0.282680897442705	0	0	9.648543689320388	21.86109325946267	GUCY2C
SHC-mediated Cascade FGFR1	1/21	0.1037532085119379	0.282680897442705	0	0	9.648543689320388	21.86109325946267	FGF23
G Alpha (Q) Signalling Events	3/219	0.10605733410212335	0.2835083630455645	0	0	2.706270627062706	6.072263576039013	GRK5;DGKA;LPAR4
Post-translational Protein Phosphorylation	2/107	0.10700730909927393	0.2835083630455645	0	0	3.6957983193277313	8.25958494856088	VCAN;FGF23
Nef-mediates Down Modulation of Cell Surface Receptors by Recruiting Them to Clathrin Adapters	1/22	0.10841858279105103	0.2835083630455645	0	0	9.188626907073509	20.414884910795575	B2M
Acyl Chain Remodelling of PS	1/22	0.10841858279105103	0.2835083630455645	0	0	9.188626907073509	20.414884910795575	LPCAT4
Regulation of TLR by Endogenous Ligand	1/22	0.10841858279105103	0.2835083630455645	0	0	9.188626907073509	20.414884910795575	S100A8
FRS-mediated FGFR4 Signaling	1/22	0.10841858279105103	0.2835083630455645	0	0	9.188626907073509	20.414884910795575	FGF23
Signaling by FGFR3 in Disease	1/22	0.10841858279105103	0.2835083630455645	0	0	9.188626907073509	20.414884910795575	FGF23
